"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,7 Mar 2017 05:34:51.141,7 Mar 2017 05:37:55.533,184.392
81,7 Mar 2017 11:43:13.400,7 Mar 2017 11:50:14.146,420.745
82,7 Mar 2017 13:15:14.645,7 Mar 2017 13:25:49.543,634.898
83,7 Mar 2017 14:49:19.270,7 Mar 2017 14:54:30.802,311.531
84,7 Mar 2017 14:55:52.748,7 Mar 2017 15:01:08.653,315.905
85,7 Mar 2017 16:25:11.178,7 Mar 2017 16:36:29.351,678.173
86,7 Mar 2017 18:02:30.688,7 Mar 2017 18:12:06.003,575.314
87,7 Mar 2017 19:40:24.079,7 Mar 2017 19:48:26.838,482.759
88,7 Mar 2017 21:17:27.706,7 Mar 2017 21:25:58.461,510.755
89,7 Mar 2017 22:53:26.018,7 Mar 2017 23:03:47.912,621.893
90,8 Mar 2017 00:28:53.909,8 Mar 2017 00:40:35.815,701.906
91,8 Mar 2017 02:04:12.523,8 Mar 2017 02:15:45.863,693.340
92,8 Mar 2017 03:39:34.875,8 Mar 2017 03:49:03.461,568.586
93,8 Mar 2017 05:15:35.896,8 Mar 2017 05:19:57.720,261.824
94,8 Mar 2017 11:24:55.957,8 Mar 2017 11:31:13.633,377.676
95,8 Mar 2017 12:56:38.287,8 Mar 2017 13:06:54.521,616.233
96,8 Mar 2017 14:30:28.148,8 Mar 2017 14:35:50.345,322.197
97,8 Mar 2017 14:36:47.811,8 Mar 2017 14:42:14.360,326.549
98,8 Mar 2017 16:06:06.943,8 Mar 2017 16:17:34.173,687.230
99,8 Mar 2017 17:43:17.120,8 Mar 2017 17:53:07.587,590.467
100,8 Mar 2017 19:21:10.926,8 Mar 2017 19:29:20.490,489.564
101,8 Mar 2017 20:58:24.098,8 Mar 2017 21:06:43.870,499.772
102,8 Mar 2017 22:34:28.866,8 Mar 2017 22:44:36.227,607.362
103,9 Mar 2017 00:09:59.141,9 Mar 2017 00:21:34.969,695.828
104,9 Mar 2017 01:45:18.201,9 Mar 2017 01:56:58.649,700.447
105,9 Mar 2017 03:20:39.187,9 Mar 2017 03:30:31.566,592.379
106,9 Mar 2017 04:56:28.740,9 Mar 2017 05:01:50.302,321.562
107,9 Mar 2017 11:06:42.387,9 Mar 2017 11:12:10.859,328.471
108,9 Mar 2017 12:38:03.986,9 Mar 2017 12:47:59.237,595.251
109,9 Mar 2017 14:11:38.849,9 Mar 2017 14:23:20.074,701.226
110,9 Mar 2017 15:47:04.268,9 Mar 2017 15:58:39.204,694.936
111,9 Mar 2017 17:24:04.361,9 Mar 2017 17:34:09.803,605.441
112,9 Mar 2017 19:01:56.993,9 Mar 2017 19:10:15.448,498.454
113,9 Mar 2017 20:39:19.256,9 Mar 2017 20:47:29.818,490.561
114,9 Mar 2017 22:15:31.180,9 Mar 2017 22:25:23.569,592.388
115,9 Mar 2017 23:51:04.205,10 Mar 2017 00:02:32.498,688.292
116,10 Mar 2017 01:26:23.913,10 Mar 2017 01:31:53.075,329.162
117,10 Mar 2017 01:32:44.774,10 Mar 2017 01:38:09.585,324.811
118,10 Mar 2017 03:01:43.852,10 Mar 2017 03:11:57.545,613.693
119,10 Mar 2017 04:37:25.551,10 Mar 2017 04:43:37.344,371.793
120,10 Mar 2017 10:48:34.058,10 Mar 2017 10:53:04.420,270.362
121,10 Mar 2017 12:19:31.795,10 Mar 2017 12:29:03.622,571.827
122,10 Mar 2017 13:52:51.387,10 Mar 2017 14:04:25.767,694.380
